,full_text,favorite_count,retweet_count,created_at,user.followers_count,engagement,performance,twtlength
894,My @kkwbeauty Sooo Fire Eyeshadow Palette is available to shop at https://t.co/sbyklMQhdE 🔥 https://t.co/nHuwOxiaU2,3547,167,2019,62585119,3714,0.01,115
895,Saint said he’s gonna pretend to sleep with his brother. He always wants a pic to capture every moment. You have no idea how sweet my boys are! https://t.co/ag56ybKd2B,282304,12412,2019,62585119,294716,0.47,167
896,My @kkwbeauty Sooo Fire Collection is available to shop now at https://t.co/aIjp1MBlpZ 🔥✨ https://t.co/dfhfLocRzT,5329,246,2019,62585119,5575,0.01,113
897,My @kkwbeauty Sooo Fire Collection just dropped!!! 🔥🔥🔥 I cant wait to see all of the looks you guys create with this collection! Go to https://t.co/sbyklMQhdE before it sells out https://t.co/5ID95kgqYb,3867,232,2019,62585119,4099,0.01,202
898,Love this!!! 🔥 Shop my Sooo Fire Collection at 12pm pst at https://t.co/aIjp1MBlpZ #kkwbeauty https://t.co/u69gvqq3IF,2709,149,2019,62585119,2858,0.0,117
899,Sooo Fire Collection 🔥🔥🔥 #kkwbeauty https://t.co/KEh8Nn4y8T,3687,166,2019,62585119,3853,0.01,59
900,My @kkwbeauty Sooo Fire Collection is dropping in two hours at 12pm pst at https://t.co/aIjp1MBlpZ I’m so excited for you guys to try this collection 🔥🔥🔥,1836,98,2019,62585119,1934,0.0,153
901,🔥🔥🔥 https://t.co/DEUAegMynU,3954,102,2019,62585119,4056,0.01,27
902,My favorite movie 🎥 https://t.co/kOXy018QFS,3442,144,2019,62585119,3586,0.01,43
903,🔥💋 https://t.co/88I6RsIHxO,1492,58,2019,62585119,1550,0.0,26
904,🙋🏻‍♀️ https://t.co/2nqThw971M,94748,8614,2019,62585119,103362,0.17,29
905,"Thank you @realDonaldTrump , @SecPompeo, Jared Kushner &amp; everyone involved with the efforts to Free ASAP Rocky &amp; his two friends. Your commitment to justice reform is so appreciated 🙏🏼🤞🏼 https://t.co/Ym1Rzo5Z6c",49865,10218,2019,62585119,60083,0.1,218
906,This was for you sister!!! I was channeling you! https://t.co/33BPuh1GGk,44838,944,2019,62585119,45782,0.07,72
907,My @kkwbeauty Liquid Concealers are restocked!!! Shop them at https://t.co/aIjp1MBlpZ #kkwbeauty https://t.co/s9N2JYB5qJ,3734,173,2019,62585119,3907,0.01,120
908,https://t.co/NpwiYdts3O,1795,209,2019,62585119,2004,0.0,23
909,I had the pleasure of meeting Kevin Keith through a video visit &amp; was so impressed w/ the amazing programs he created in prison to help others inside better themselves! So much evidence has been uncovered proving Kevin’s innocence. I hope justice is served soon &amp; he is released. https://t.co/mFrA76QlEX,9971,619,2019,62585119,10590,0.02,311
910,"I heard about Kevin Keith’s case last year &amp; the more I learn about it, the more I believe the world needs to hear what happened to him! He was on death row &amp; came w/in days of execution before the governor of Ohio commuted his sentence to life w/o parole. https://t.co/5dGF9JDcm7",2328,222,2019,62585119,2550,0.0,288
911,Sooo Fire Glam Session 🔥 🔥 🔥  @samvissermakeup I always play it pretty neutral but wanted to make a collection that I would have fun with and would wear when I want to look 🔥💥🔥  launching this Friday https://t.co/FsvhIerHFs https://t.co/cnR2B6B9xs,5991,334,2019,62585119,6325,0.01,247
912,Watch the full Sooo Fire Makeup Tutorial at https://t.co/rrbYqyUk4d #kkwbeauty https://t.co/MAkVDKLbkV,13500,535,2019,62585119,14035,0.02,102
913,My @kkwbeauty Body Foundation in Deep Dark is sold out!!!,4702,130,2019,62585119,4832,0.01,57
914,Who got the Gemini’s from @carolinalemkeberlin ? Go to https://t.co/USBcysK4Gw before they’re sold out! #LemkePartner https://t.co/SKZfx9frGt,4733,215,2019,62585119,4948,0.01,141
915,My @kkwbeauty Body Foundation in Tan is sold out!!!,6055,163,2019,62585119,6218,0.01,51
916,Boeing * https://t.co/uNQgE1XYHh,5846,255,2019,62585119,6101,0.01,32
917,https://t.co/3t11HgQbOK,3219,404,2019,62585119,3623,0.01,23
918,I met families who’s babies have died from the rare cancer they have from living so close to this toxic site. It’s heart breaking and they should have cleaned this up decades ago! Boing and NASA tested rockets at this site &amp; agreed to clean it up by 2017 but haven’t! It’s time!!!,49716,3449,2019,62585119,53165,0.08,284
