,full_text,favorite_count,retweet_count,created_at,user.followers_count,engagement,performance,twtlength
53,"Orgulloso de este equipo. Estamos solamente a dos de volver a esos tiempos mágicos en la historia de este equipo. 

¡Juntos, siempre juntos🦁🇳🇱!",148,22,2019,1898,170,8.96,145
54,"Mas fotos del libro Centenario. Se puede encontrar en La Biblioteca del Congreso, en Washington D.C. 

Se tiene que pedir 2 dias por adelanto, por la magnitúd de libros y pedidos. No hay tantos libros hondureños, pero encontré Los Pioneros, sobre la historia de HRN. https://t.co/XUaOa5pxJc",75,10,2019,1898,85,4.48,292
55,"Y en un pequeño rincón de la biblioteca mas grande del mundo, encontré la Historia del Club Olimpia Deportivo. Archivado aquí, y por el resto de la eternidad humana, el nombre y escudo del mas grande de la historia.

#ElMasGrandeDeCA https://t.co/BX8xNjIok8",238,63,2019,1898,301,15.86,259
56,¡Que golazos!,34,6,2019,1898,40,2.11,13
57,"Ni la muerte nos va a separar. 

¡Juntos, siempre juntos!
🦁🇳🇱🌐 https://t.co/LOasRd00Ev",107,8,2019,1898,115,6.06,89
58,"Hoy comienza la campaña de la Fundación hondureña para el niño con cáncer. 

Aplauso @jcpineda17 @makawas @allanfajardo29 @hernandezjacobo @yanuariopaz @jcnfutbol1 por unirse a esta causa. 

Y también un aplauso y abrazo a mi hermana @Rpastorferrari por siempre luchar por ellos. https://t.co/rV5ITMpAvJ",90,11,2019,1898,101,5.32,307
59,Me va a dar algo.,35,4,2019,1898,39,2.05,17
60,Enorme Harold! Dos de dos penales ❌❌,80,8,2019,1898,88,4.64,36
61,"AUBA! 

#YaGunnersYa",5,2,2019,1898,7,0.37,22
62,"Que bien por los que manejan la cuenta del Platense. Sin ofender pero sí con sentido de humor. De eso se trata el fútbol y si no, te lo estás tomando demasiado enserio. 

El fútbol es lo mas importante de las cosas que no importan. 

@FCPlatense Tendremos nuestra revancha👀 https://t.co/saPPHozawU",68,9,2019,1898,77,4.06,301
63,"En la costa nos quieren porque somos el mejor. 

¡Hoy tenés que ganar!🦁",67,15,2019,1898,82,4.32,73
64,"#FútbolEsVida

@usembassyhn @CDOlimpia @MOTAGUAcom @RealEspanaCD @CDMarathon 

🦁🦅🚂🦖 https://t.co/eejNv1StfG",48,22,2019,1898,70,3.69,111
65,"""Esque no es de tener miedo, es de sentido común.""

2-1 la H.",77,12,2019,1898,89,4.69,63
66,"Olimpia me dió una infancia que no merezco. Como muchos, aprendí a luchar contra todo, a triunfar. 

Como adultos, sería una injusticia privar de esas experiencias a las niñas y los niños de Honduras. Eso sería privar a Honduras de un futuro próspero. 🇭🇳 https://t.co/nEcBEj3hZx",48,8,2019,1898,56,2.95,280
67,"Entiendo el punto de Mr. Chip. Pero si nos va a dar miedo enfrentar a Chile en el Morazán, para qué entónces quisiesemos ir al mundial? 

Honduras no necesita pesimistas, eso sobra. Subase al barco el que quiera apoyar, porque si no está apoyando está ______. https://t.co/GP5DRsEkjm",84,16,2019,1898,100,5.27,285
68,"""Y estoy de pie, como decía la Tota, no te murás por esta porquería.""⚽️

Grande Diego Armando.",25,1,2019,1898,26,1.37,96
69,"Orgulloso de Benguché, un jugador que ha trabajado por llegar adonde está, lo ha alcanzado, y hoy nos demuestra que se lo merece. Por este y muchos mas con la H⚽️. https://t.co/1whVSXYnyL",139,25,2019,1898,164,8.64,187
70,"Tres puntos muy valiosos contra un Minas que no lo hace tan mal. 

A nosotros nos faltan detalles todavía pero este equipó tiene CARA, mucho liderazgo. 

¡Y nuestra gente que sigue a todos lados, nunca jugamos en silencio!

¡Vamos mi león, queremos las copas!🇳🇱🦁",133,22,2019,1898,155,8.17,268
71,"Espero pecar de paranoíco, pero será que nos quieren sacar a como dé lugar😂? 

Pues la copa va a volver a casa, a como dé lugar.",125,24,2019,1898,149,7.85,130
72,"Porque este año, desde La Plata, desde La Plata, nos vino a hacer campeón!

¡Juntos, Siempre Juntos!",47,11,2019,1898,58,3.06,102
73,"DIOS MIO DEIBY DONDE LA PUSO😭

¡VAMOS!",89,19,2019,1898,108,5.69,40
74,"Tenés que dejar el alma, y el corazón. https://t.co/eF8Vpw1AWn",44,4,2019,1898,48,2.53,62
75,"Alex Pineda, Wilson Palacios, Chaco Maidana. 

Tres privilegios🔮🎩 de mi época.",120,14,2019,1898,134,7.06,80
76,"Llegó el Cañonero del Aguán⚽️. 

¡0-1 Olimpia!",33,4,2019,1898,37,1.95,48
77,"Hay noches que la bola solo no entra. En la vuelta remontamos.

Juntos siempre🇳🇱🦁.",57,12,2019,1898,69,3.64,84
78,Por la séptima. Por la historia. Por Honduras. https://t.co/4YoIBEFQ6o,159,32,2019,1898,191,10.06,70
79,"¡Estamos viendo pasos de gigante! Felicidades @OrgulloMotagua, esperamos defender los colores de Honduras. https://t.co/Ps842ig5Yq",27,2,2019,1898,29,1.53,130
80,"Feliz de representar Fundación @televicentrohn como juéz del premio Yo Emprendo en Unitec. Por tercera vez quedo deslumbrado del (potencial) futuro de Honduras, un futuro que será brillante sólo si trabajamos y permitimos espacios para el emprendimiento social. https://t.co/xzYDA12Dvg",26,2,2019,1898,28,1.48,285
81,. https://t.co/9KomKPi3vv,62,9,2019,1898,71,3.74,25
82,"Las dos barras en su lugar, junto al resto de aficionados que venimos a ver FÚTBOL. Como siempre, lo que es el hondureño minoritario y antisocial, tacha una de las pocas cosas buenas que tenemos. 

Desgraciadamente hoy perdimos todos.",116,26,2019,1898,142,7.48,236
83,"Que salen a ganar, que quieren salir campeón, que lo llevan adentro. Como lo llevo yo. 

MATCHDAY 5, señores. 🦁🇳🇱",90,22,2019,1898,112,5.9,115
84,"Tres puntos importantísimos. Estas rascadas a mitád de semana son las que cuentan al final de la temporada. 

¡El sábado cueste lo que cueste🦁🇳🇱!",54,10,2019,1898,64,3.37,147
85,Nunca en silencio. ¡Mañana y el sábado nos vemos en el nacional! https://t.co/zdZLHuj6v3,56,6,2019,1898,62,3.27,88
86,"Somos un pueblo, una nación, cinco estrellas en mi corazón. Vamos mini H, estos últimos 45 nos morimos en la cancha🇭🇳",51,10,2019,1898,61,3.21,117
87,"Como me alegra el ambiente de éste Olimpia. Entre risas y buén ambiente se preparó hoy el equipo para llegar al 100% a San Pedro. 

¡Vamos Olimpia que juntos somos enormes!🇳🇱🦁

Gracias C.T. por recibirnos💪🏼
@TroglioPedro 
@Gustavoreggi19 
@pjmsports https://t.co/Y8kXtWEUnt",77,18,2019,1898,95,5.01,280
88,Vamos H💙,24,2,2019,1898,26,1.37,8
89,"6 / 6 puntos. Haciendo buen fútbol, aunque podemos seguir mejorando. Vamos!🦁🇳🇱",75,14,2019,1898,89,4.69,78
90,El malcriado de Maidana😂,80,11,2019,1898,91,4.79,24
91,WHAT A HIT SON!,10,2,2019,1898,12,0.63,15
92,¡ATCHDAY 2! Que bonito que es volver a verte Olimpia🇳🇱🦁,31,3,2019,1898,34,1.79,55
93,¡Grán inicio a la era Troglio! 3 puntos en la bolsa. Vamos por mas💪🏼🇳🇱🦁.,117,23,2019,1898,140,7.38,72
94,"¡Comenzamos! Otra temporada que no juegan 11, la jugamos millones.

¡Vamos mi león que estás obligado!🦁🇳🇱 https://t.co/JyEuuJzxLh",150,30,2019,1898,180,9.48,131
95,"Foto que me envió un amigo, desde Estambul.

Sonrían, es fútbol. 🦁🇱🇺. https://t.co/977qrYj8uX",204,28,2019,1898,232,12.22,95
96,Tremendo el Olimpia del Pedro.,64,12,2019,1898,76,4.0,30
97,"Para ser campeón, hoy tenés que ganar🎶! Que bonito que es volver a verte Olimpia❤️🦁",17,3,2019,1898,20,1.05,83
98,¡Si alguién me consigue un link para ver Olimpia vs Herediano!🙏🏼🙏🏼🙏🏼,6,2,2019,1898,8,0.42,68
99,"En un baño de Washington volteo y está Joaquín (de todas las personas).

Joaquín cuándo jugamos al tennis?

Joaquín: ""cuando quieras chaval, jugamos ahora si quieres.""

Le di la mano, le conté que era de Honduras, y siguió con su noche. Sonrío, es fútbol. https://t.co/7DUZrhNkEf",20,2,2019,1898,22,1.16,285
