,full_text,favorite_count,retweet_count,created_at,user.followers_count,engagement,performance,twtlength
265,"The Impeachment Scam is driving Republican Poll Numbers UP, UP, UP! Thank you Shifty.",116852,25402,2019,67625690,142254,0.21,85
266,"This is a great and well reseached book on Justice K. The Ruth Marcus book is a badly written &amp; reseached disaster. So many incorrect facts. Fake News, just like the @washingtonpost! https://t.co/i6GwghuEsU",30206,9016,2019,67625690,39222,0.06,210
267,Witch Hunt! https://t.co/CvZtyHMsGo,41504,11863,2019,67625690,53367,0.08,35
268,But I did nothing wrong. Read the Transcripts (2)! https://t.co/Ef9O5kOgrg,33848,8414,2019,67625688,42262,0.06,74
269,100% Correct! https://t.co/VJfkmaraGV,35217,8862,2019,67625688,44079,0.07,37
270,"Agnes, your great boy Ronald is looking down, very proud of you! https://t.co/BHPu6IIdAN",57870,16744,2019,67625688,74614,0.11,88
271,Exclusive: Elise Stefanik Reflects on Her Two-Week Whirlwind https://t.co/5SownqVBuD,23043,6297,2019,67625688,29340,0.04,84
272,The Unspoken Truth: What Impeachment Exposed About Trump and 2020 https://t.co/pYTYBcD55I,26509,8124,2019,67625688,34633,0.05,89
273,This is the real story behind the Do Nothing Democrats! https://t.co/4tPTICdSR1,66424,23280,2019,67625688,89704,0.13,79
274,"Too bad we didn’t have the G-7 here. I offered to pick up the entire cost, would have saved at least $35,000,000 for the USA. Best location. Very stupid people thought I would gain. Wrong! Looking at Camp David. Will announce soon. https://t.co/8RF7IHVyxN",65764,17128,2019,67625688,82892,0.12,255
275,"Polls have now turned very strongly against Impeachment, especially in swing states. 75% to 25%. Thank you!",143244,29326,2019,67625688,172570,0.26,107
276,"Nancy Pelosi, Adam Schiff, AOC and the rest of the Democrats are not getting important legislation done, hence, the Do Nothing Democrats. USMCA, National Defense Authorization Act, Gun Safety, Prescription Drug Prices, &amp; Infrastructure are dead in the water because of the Dems!",91198,27285,2019,67625688,118483,0.18,282
277,"Navy Seal Eddie Gallagher will be on @foxandfriends this morning at 7:30 A.M. Have no fear, all will end well for everyone!",59741,12616,2019,67625688,72357,0.11,123
278,Pushed hard to have Apple build in USA! https://t.co/BRfXBkJdc2,75884,16750,2019,67625688,92634,0.14,63
279,https://t.co/XexXL5HYRU,45619,15265,2019,67625688,60884,0.09,23
280,https://t.co/x7ATRLwGpY,33456,9739,2019,67625688,43195,0.06,23
281,https://t.co/iSzJDM7CZw,35780,10817,2019,67625688,46597,0.07,23
282,"95% Approval Rate in the Republican Party, a record! Thank you!",150990,27814,2019,67625688,178804,0.26,63
283,Thank you Kevin for the nice words! https://t.co/DfY1V38EhD,40571,8813,2019,67625688,49384,0.07,59
