,full_text,favorite_count,retweet_count,created_at,user.followers_count,engagement,performance
49,"🎵Vamos mi león, queremos la copa🎵

No te quedes sin tu entrada 🎫 para el domingo y se parte de la fiesta tricolor. 🔴⚪🔵

#HastaElÚltimoMinuto https://t.co/vB8uHST1ZX https://t.co/Wy7BDAltUj",395,69,2019,196452,464,0.24
50,"¡Silla agotado! 👋👋

Adquirí tu boleto lo más pronto en cualquier punto Tengo a nivel nacional y se parte de la fiesta del más popular.🇱🇺🇱🇺🇱🇺🇱🇺

#SomosOlimpia https://t.co/ClLiDrip9O",270,36,2019,196452,306,0.16
51,"¡Sombra Sur agotado! 👋👋

Adquirí tu boleto lo más pronto en cualquier punto Tengo a nivel nacional y se parte de la fiesta del más popular.,, 🇱🇺🇱🇺🇱🇺🇱🇺

#SomosOlimpia https://t.co/Zlp0O0ntXK",348,57,2019,196452,405,0.21
52,¡Goleador! 🔝🦁⚽ https://t.co/ozPRmW8vKx,475,60,2019,196452,535,0.27
53,"¡Por la 31! 🇳🇱🇳🇱🇳🇱🇳🇱

💵Sol L.80 | Sombra L.150 | Silla L.300 | 
🏟Estadio Nacional
🗓️8/12/19
⏲4:00 pm
🏆Liga SalvaVida

Boletos en todos los puntos Tengo.

Niños menores de 12 años entran gratis a sector de Sol acompañados de un adulto. https://t.co/ERLhC5ES2Q",525,111,2019,196452,636,0.32
54,"Cerca... Mas cerca 🇱🇺

¡Vamos Olimpia!

#HastaElÚltimoMinuto https://t.co/3YV0EgTa0j",996,173,2019,196452,1169,0.6
55,"Finaliza el partido. Importante paso en el Nacional. Olimpia derrotó 3-0 a los Lobos de la UPNFM.

🔴🔵⚪ #SomosOlimpia https://t.co/j4VQl2YU9L",360,73,2019,196452,433,0.22
56,"Tercer cambio en Olimpia 🔄 a los 71 minutos:

Sale:Cristhian Maidana 
Entra: Matías Garrido

#SomosOlimpia",40,0,2019,196452,40,0.02
57,"Segundo cambio en Olimpia 🔄 a los 65 minutos:

Sale:Germán Mejia
Entra: Maylor Núñez

#SomosOlimpia",42,1,2019,196452,43,0.02
58,"🕛Inicia el segundo tiempo en el Nacional. 🏟️

Lobos Upn 0 🐶 - Olimpia 3 🦁

#SomosOlimpia
#LigaSalvaVida",65,5,2019,196452,70,0.04
59,"Medio tiempo en el Nacional 🕘

Lobos Upn 🐶 0 - Olimpia 3 🦁

Jerry Bengtson ⚽
Bryan Beckeles⚽
Jorge Bengúche ⚽

#SomosOlimpia 🔴⚪🔵
#LigaSalvaVida https://t.co/IJJq6M4f7K",48,5,2019,196452,53,0.03
60,"Goooooooooooooooool
Goooooooooooooooool

Jorge Bengúche a los 34' ⚽

Lobos Upn 🐶 0 - Olimpia 3

#SomosOlimpia
#LigaSalvaVida https://t.co/ZiKm4Cpin8",215,31,2019,196452,246,0.13
61,"Cambio en Olimpia 🔄 a los 32' minutos:

Sale:Jhonny Leveron
Entra: Jonathan Paz",47,4,2019,196452,51,0.03
62,"Goooooooooooooooooool
Goooooooooooooooooool

Bryan Beckeles a los 23' minutos ⚽

Lobos Upn 0 🐶 - Olimpia 2 🇱🇺

#SomosOlimpia
#LigaSalvaVida https://t.co/tp51J3wt4d",178,27,2019,196452,205,0.1
63,"Gooooooooooooool
Gooooooooooooool

Jerry Bengtson a los 10' minutos ⚽

Lobos Upn 0 - Olimpia 1 https://t.co/DMYhFN4uNN",266,38,2019,196452,304,0.15
